git年份,性別,縣市,癌症類別,發生率,癌症發生數,平均年齡,年齡中位數,粗率 (每10萬人口)
2018,女,新北市,非何杰金氏淋巴瘤,7.58,251 ,63.27,64.0,12.3
2018,女,新北市,漿細胞瘤,1.27,46 ,67.96,68.0,2.25
2018,女,新北市,全癌症,303.07,"9,801 ",60.27,60.0,480.26
2019,全,台北市,口腔、口咽及下咽,11.64,520 ,60.68,60.0,19.66
2019,全,台北市,主唾液腺,0.49,23 ,64.7,67.0,0.87
2019,全,台北市,鼻咽,3.47,138 ,55.71,55.5,5.22
2019,全,台北市,食道,4.0,198 ,65.08,63.0,7.49
2019,全,台北市,胃,9.66,512 ,70.26,70.0,19.36
2019,全,台北市,小腸,1.11,54 ,65.28,67.0,2.04
2019,全,台北市,結直腸,38.41,"1,941 ",67.93,68.0,73.38
2019,全,台北市,肝及肝內膽管,16.97,883 ,68.91,68.0,33.38
2019,全,台北市,膽囊及肝外膽管,2.2,123 ,73.32,74.0,4.65
2019,全,台北市,胰,6.8,356 ,69.28,68.0,13.46
2019,全,台北市,後腹膜腔及腹膜,1.04,46 ,63.3,65.0,1.74
2019,全,台北市,消化器官其他分界不明部位,0.05,3 ,74.33,77.0,0.11
2019,全,台北市,鼻腔、中耳及副鼻竇,0.66,29 ,61.97,59.0,1.1
2019,全,台北市,喉,1.73,87 ,67.09,66.0,3.29
2019,全,台北市,肺、支氣管及氣管,42.17,"2,113 ",67.19,67.0,79.89
2019,全,台北市,胸膜,0.16,9 ,71.67,65.0,0.34
2019,全,台北市,胸腺、心臟與中隔,2.01,74 ,54.5,56.5,2.8
2019,全,台北市,骨、關節及關節軟骨,0.8,24 ,50.42,51.0,0.91
2019,全,台北市,結締組織、皮下組織及其他軟組織,1.61,66 ,61.3,65.5,2.5
2019,全,台北市,皮膚,7.63,432 ,73.99,76.0,16.33
2019,全,台北市,膀胱,4.81,267 ,72.93,74.0,10.09
2019,全,台北市,腎,4.95,222 ,62.24,63.0,8.39
2019,全,台北市,腎盂及其他泌尿系統,3.29,183 ,72.75,73.0,6.92
2019,全,台北市,眼及淚腺,0.24,7 ,45.86,60.0,0.26
2019,全,台北市,腦,3.17,97 ,49.23,52.0,3.67
2019,全,台北市,其他神經系統,0.35,10 ,43.1,43.0,0.38
2019,全,台北市,甲狀腺,15.76,552 ,50.14,50.0,20.87
2019,全,台北市,其他內分泌腺,0.47,15 ,47.4,49.0,0.57
2019,全,台北市,其他分界不明的部位,0.08,5 ,75.0,77.0,0.19
2019,全,台北市,不明原發部位,1.35,75 ,72.65,73.0,2.84
2019,全,台北市,何杰金氏淋巴瘤,0.7,19 ,44.26,42.0,0.72
2019,全,台北市,白血病,8.24,335 ,61.87,66.0,12.67
2019,全,台北市,非何杰金氏淋巴瘤,8.22,390 ,66.59,67.0,14.74
2019,全,台北市,漿細胞瘤,1.53,82 ,69.68,68.5,3.1
2019,全,台北市,全癌症,296.59,"13,928 ",64.81,65.0,526.57
2019,全,新北市,口腔、口咽及下咽,18.84,"1,222 ",58.46,58.0,30.41
2019,全,新北市,主唾液腺,0.98,57 ,55.35,57.0,1.42
2019,全,新北市,鼻咽,4.67,268 ,52.03,52.0,6.67
2019,全,新北市,食道,6.61,451 ,61.42,61.0,11.22
2019,全,新北市,胃,10.75,723 ,67.52,68.0,17.99
2019,全,新北市,小腸,1.19,77 ,62.53,63.0,1.92
2019,全,新北市,結直腸,41.46,"2,755 ",64.98,65.0,68.55
2019,全,新北市,肝及肝內膽管,24.51,"1,655 ",65.92,66.0,41.18
2019,全,新北市,膽囊及肝外膽管,2.87,198 ,69.81,69.0,4.93
2019,全,新北市,胰,6.77,452 ,66.38,66.5,11.25
2019,全,新北市,後腹膜腔及腹膜,0.82,54 ,63.98,65.0,1.34
2019,全,新北市,消化器官其他分界不明部位,0.06,4 ,66.25,68.0,0.1
2019,全,新北市,鼻腔、中耳及副鼻竇,0.95,53 ,55.15,53.0,1.32
2019,全,新北市,喉,2.16,146 ,63.8,64.0,3.63
2019,全,新北市,肺、支氣管及氣管,42.41,"2,869 ",65.68,65.0,71.39
2019,全,新北市,胸膜,0.2,13 ,66.08,70.0,0.32
2019,全,新北市,胸腺、心臟與中隔,1.76,100 ,55.36,57.0,2.49
2019,全,新北市,骨、關節及關節軟骨,0.72,26 ,37.54,36.5,0.65
2019,全,新北市,結締組織、皮下組織及其他軟組織,2.04,110 ,55.82,59.0,2.74
2019,全,新北市,皮膚,8.15,550 ,70.76,71.0,13.69
2019,全,新北市,膀胱,5.46,373 ,69.18,69.0,9.28
2019,全,新北市,腎,5.82,365 ,59.59,61.0,9.08
2019,全,新北市,腎盂及其他泌尿系統,3.73,258 ,71.35,71.0,6.42
2019,全,新北市,眼及淚腺,0.42,14 ,39.64,41.0,0.35
2019,全,新北市,腦,2.41,119 ,51.73,55.0,2.96
2019,全,新北市,其他神經系統,0.24,12 ,53.42,55.5,0.3
2019,全,新北市,甲狀腺,15.55,856 ,49.79,50.0,21.3
2019,全,新北市,其他內分泌腺,1.24,45 ,40.18,47.0,1.12
2019,全,新北市,其他分界不明的部位,0.21,14 ,58.79,62.0,0.35
2019,全,新北市,不明原發部位,1.66,112 ,70.87,72.5,2.79
2019,全,新北市,何杰金氏淋巴瘤,0.94,43 ,45.67,47.0,1.07
2019,全,新北市,白血病,9.08,463 ,56.15,60.0,11.52
2019,全,新北市,非何杰金氏淋巴瘤,8.6,537 ,61.85,64.0,13.36
2019,全,新北市,漿細胞瘤,1.8,126 ,68.11,67.0,3.14
2019,全,新北市,全癌症,322.03,"20,540 ",62.08,63.0,511.11
2019,男,台北市,口腔、口咽及下咽,21.77,441 ,59.89,59.0,35.0
2019,男,台北市,主唾液腺,0.55,12 ,68.08,68.5,0.95
2019,男,台北市,鼻咽,5.83,105 ,55.31,55.0,8.33
2019,男,台北市,食道,7.83,174 ,64.26,62.0,13.81
2019,男,台北市,胃,12.01,292 ,71.16,70.5,23.17
2019,男,台北市,小腸,0.9,19 ,61.26,66.0,1.51
2019,男,台北市,結直腸,46.54,"1,061 ",67.47,67.0,84.2
2019,男,台北市,肝及肝內膽管,26.43,608 ,67.25,67.0,48.25
2019,男,台北市,膽囊及肝外膽管,2.83,66 ,70.21,70.5,5.24
2019,男,台北市,胰,7.58,179 ,68.79,68.0,14.21
2019,男,台北市,後腹膜腔及腹膜,0.57,9 ,52.11,61.0,0.71
2019,男,台北市,消化器官其他分界不明部位,0.12,3 ,74.33,77.0,0.24
2019,男,台北市,鼻腔、中耳及副鼻竇,0.91,19 ,63.79,59.0,1.51
2019,男,台北市,喉,3.54,80 ,67.2,67.0,6.35
2019,男,台北市,肺、支氣管及氣管,42.48,990 ,68.74,68.0,78.57
2019,男,台北市,胸膜,0.26,7 ,76.57,80.0,0.56
2019,男,台北市,胸腺、心臟與中隔,2.77,46 ,52.3,55.5,3.65
